0,7-30dayL
2,30-90dayL
3,30-90dayL
4,7-30dayL
5,30-90dayL
10,>90dayL
17,on-time
24,30-90dayL
30,30-90dayL
36,1-7dayL
37,1-7dayL
38,30-90dayL
39,1-7dayL
40,1-7dayL
41,30-90dayL
42,1-7dayL
43,>90dayL
44,>90dayL
45,30-90dayL
46,>90dayL
99,>90dayL
100,>90dayL
101,>90dayL
102,>90dayL
103,>90dayL
104,>90dayL
105,>90dayL
106,>90dayL
107,>90dayL
108,>90dayL
109,>90dayL
110,>90dayL
111,>90dayL
112,>90dayL
113,>90dayL
114,>90dayL
115,>90dayL
116,>90dayL
117,>90dayL
122,>90dayL
123,>90dayL
145,>90dayL
146,>90dayL
161,>90dayL
170,>90dayL
209,>90dayL
316,>90dayL
329,>90dayL
382,>90dayL
468,>90dayL
469,>90dayL
474,>90dayL
475,>90dayL
476,>90dayL
481,>90dayL
482,>90dayL
483,>90dayL
485,>90dayL
494,>90dayL
495,>90dayL
496,>90dayL
497,>90dayL
498,>90dayL
515,>90dayL
516,>90dayL
517,>90dayL
529,>90dayL
530,>90dayL
531,>90dayL
532,>90dayL
533,>90dayL
628,>90dayL
636,>90dayL
637,>90dayL
638,>90dayL
644,>90dayL
648,>90dayL
651,>90dayL
652,>90dayL
654,on-time
655,on-time
656,on-time
657,on-time
658,on-time
659,on-time
660,on-time
661,on-time
662,on-time
663,on-time
664,on-time
665,on-time
666,on-time
667,on-time
668,on-time
669,on-time
670,on-time
671,on-time
672,on-time
673,on-time
674,on-time
675,on-time
676,on-time
677,on-time
678,on-time
679,on-time
680,on-time
681,on-time
682,on-time
683,on-time
684,on-time
685,on-time
686,on-time
687,on-time
688,>90dayL
689,>90dayL
690,>90dayL
691,>90dayL
692,>90dayL
693,>90dayL
694,>90dayL
695,>90dayL
696,>90dayL
697,>90dayL
698,>90dayL
699,>90dayL
700,>90dayL
701,>90dayL
702,>90dayL
703,>90dayL
704,>90dayL
705,>90dayL
706,>90dayL
707,>90dayL
708,>90dayL
709,>90dayL
710,>90dayL
711,>90dayL
712,>90dayL
713,>90dayL
714,>90dayL
715,>90dayL
716,>90dayL
717,>90dayL
718,>90dayL
719,>90dayL
720,>90dayL
721,>90dayL
722,>90dayL
723,>90dayL
724,>90dayL
725,>90dayL
726,>90dayL
727,>90dayL
728,>90dayL
729,>90dayL
730,>90dayL
731,>90dayL
732,>90dayL
733,>90dayL
734,>90dayL
735,>90dayL
736,>90dayL
737,>90dayL
738,>90dayL
739,>90dayL
740,>90dayL
741,>90dayL
742,>90dayL
743,>90dayL
744,>90dayL
745,>90dayL
746,>90dayL
747,>90dayL
748,>90dayL
749,>90dayL
750,>90dayL
751,>90dayL
752,>90dayL
753,>90dayL
754,>90dayL
755,>90dayL
756,>90dayL
757,>90dayL
758,>90dayL
759,>90dayL
760,>90dayL
761,>90dayL
762,>90dayL
763,>90dayL
764,>90dayL
765,>90dayL
766,>90dayL
767,>90dayL
768,>90dayL
769,on-time
770,on-time
771,on-time
772,on-time
773,on-time
774,on-time
775,on-time
776,on-time
777,>90dayL
778,on-time
779,on-time
780,on-time
781,on-time
782,on-time
783,on-time
784,on-time
785,on-time
786,on-time
787,on-time
788,on-time
789,on-time
790,on-time
791,on-time
792,on-time
793,on-time
794,on-time
795,on-time
796,on-time
797,on-time
798,on-time
799,on-time
800,on-time
801,on-time
802,on-time
803,on-time
804,on-time
805,on-time
806,on-time
807,on-time
808,on-time
809,on-time
810,on-time
811,on-time
812,on-time
813,on-time
814,on-time
815,on-time
816,on-time
817,on-time
818,on-time
819,on-time
820,on-time
821,on-time
822,on-time
823,on-time
824,on-time
825,on-time
826,on-time
827,on-time
828,on-time
829,on-time
830,on-time
831,on-time
832,on-time
833,on-time
834,on-time
835,on-time
836,on-time
837,on-time
838,on-time
839,on-time
840,on-time
841,on-time
842,on-time
843,on-time
844,on-time
845,on-time
846,on-time
847,on-time
848,on-time
849,on-time
850,on-time
851,on-time
852,on-time
853,on-time
854,on-time
855,on-time
856,on-time
857,on-time
858,on-time
859,on-time
860,on-time
861,on-time
862,on-time
863,on-time
864,on-time
865,on-time
866,on-time
867,on-time
868,on-time
869,on-time
870,on-time
871,on-time
872,on-time
873,on-time
874,on-time
876,on-time
877,on-time
878,on-time
879,on-time
880,on-time
881,on-time
882,on-time
884,on-time
885,on-time
886,on-time
887,on-time
888,on-time
889,on-time
890,on-time
891,on-time
892,on-time
894,on-time
895,on-time
896,on-time
897,on-time
898,on-time
899,on-time
900,on-time
901,on-time
902,on-time
903,on-time
904,on-time
905,on-time
906,on-time
907,on-time
908,on-time
909,on-time
910,on-time
911,on-time
912,on-time
913,on-time
914,on-time
915,on-time
